id_species,name_species,id_photo,slug,common_names_en,common_names_de,common_names_es,common_names_fr,scientific_name,taxonomy,id_category,tags
neovison-vison,American Mink,khm-20180331-1149-1522482553,american-mink,American Mink,Amerikanischer Nerz,Visón americano,Vison d'Amérique,Neovison vison,Carnivora|Mustelidae,mammals,"mammals, weasels"
nycticorax-nycticorax,Black-crowned Night Heron,khm-20170902-2003-1504368223,black-crowned-night-heron,Black-crowned Night Heron,Nachtreiher,Martinete común,Bihoreau gris,Nycticorax nycticorax,Pelecaniformes|Ardeidae,birds,"birds, heron"
nymphalis-antiopa,Mourning Cloak,khm-20140511-1954-1399823681,mourning-cloak,Mourning Cloak,Trauermantel,Nymphalis antiopa,Morio,Nymphalis antiopa,Lepidoptera|Nymphalidae,butterflies,"butterflies, brush-footed"
odocoileus-virginianus,White-tailed Deer,khm-20140712-1844-1405176290,white-tailed-deer,White-tailed Deer,Weisswedelhirsch,"Venado de cola blanca, Ciervo de cola blanca, Ciervo de Virginia, Venado de Virginia, Venado gris","Chevreuil, Chevreuil de Virginie, Cariacou, Cerf de Virginie",Odocoileus virginianus,Artiodactyla|Cervidae|Capreolinae,mammals,"mammals, deers"
ondatra-zibethicus,Muskrat,khm-20170415-2016-1492272966,muskrat,Muskrat,Bisamratte,Rata almizclera,Rat musqué,Ondatra zibethicus,Rodentia|Cricetidae|Arvicolinae,mammals,"mammals, rodents"
oreothlypis-ruficapilla,Nashville Warbler,khm-20180523-1515-1527074102,nashville-warbler,Nashville Warbler,Rubinfleck-Waldsänger,Reinita de Nashville,Paruline à joues grises,Oreothlypis ruficapilla,Passeriformes|Parulidae,birds,"birds, warblers"
pandion-haliaetus,Osprey,khm-20160903-1344-1472895890,osprey,Osprey,Fischadler,Águila pescadora,Balbuzard pêcheur,Pandion haliaetus,Accipitriformes|Pandionidae,birds,"birds, raptors"
papilio-cresphontes,Giant Swallowtail,khm-20150823-1953-1440345185,giant-swallowtail,Giant Swallowtail,Großer Schwalbenschwanz,Papilio cresphontes,Grand porte-queue,Papilio cresphontes,Lepidoptera|Papilionidae,butterflies,"butterflies, swallowtails"
passer-domesticus,House Sparrow,khm-20210508-1727-1620480443,house-sparrow,House Sparrow,Haussperling,Gorrión común,Moineau domestique,Passer domesticus,Passeriformes|Passeridae,birds,"birds, sparrows"
passerella-iliaca,Fox Sparrow,khm-20181104-1852-1541339574,fox-sparrow,Fox Sparrow,Fuchsammer,Chingolo zorruno,Bruant fauve,Passerella iliaca,Passeriformes|Passerellidae,birds,"birds, sparrows"
passerina-cyanea,Indigo Bunting,khm-20170722-1429-1500719379,indigo-bunting,Indigo Bunting,Indigofink,Azulejo índigo,Passerin indigo,Passerina cyanea,Passeriformes|Cardinalidae,birds,"birds, indigo"
phalacrocorax-auritus,Double-Crested Cormorant,khm-20150808-1944-1439048694,double-crested-cormorant,Double-Crested Cormorant,Ohrenscharbe,Cormorán orejudo,Cormoran à aigrettes,Phalacrocorax auritus,Suliformes|Phalacrocoracidae,birds,"birds, shorebirds"
phoca-vitulina,Harbor Seal,khm-20180523-1935-1527089743,harbor-seal,Harbor Seal,Seehund,Foca común,Phoque commun,Phoca vitulina,Carnivora|Phocidae,mammals,"marine mammals, seals"
picoides-pubescens,Downy Woodpecker,khm-20160304-2008-1457104120,downy-woodpecker,Downy Woodpecker,Dunenspecht,Pico pubescente,Pic mineur,Picoides pubescens,Piciformes|Picidae,birds,"birds, woodpeckers"
picoides-villosus,Hairy Woodpecker,khm-20160306-2003-1457276629,hairy-woodpecker,Hairy Woodpecker,Haarspecht,Pico velloso,Pic chevelu,Picoides villosus,Piciformes|Picidae,birds,"birds, woodpeckers"
pieris-rapae,Cabbage White,khm-20130929-1750-1380462600,cabbage-white,Cabbage White,Kleiner Kohlweißling,Blanquita de la col,Piéride de la rave,Pieris rapae,Lepidoptera|Pieridae,butterflies,"butterflies, whites"
pinicola-enucleator,Pine Grosbeak,khm-20170812-1646-1502542001,pine-grosbeak,Pine Grosbeak,Hakengimpel,Camachuelo picogrueso,Durbec des sapins,Pinicola enucleator,Passeriformes|Fringillidae,birds,"birds, grosbeak"
podilymbus-podiceps,Pied-billed Grebe,khm-20190707-1809-1562508571,pied-billed-grebe,Pied-billed Grebe,Bindentaucher,Zampullín de pico grueso,Grèbe à bec bigarré,Podilymbus podiceps,Podicipediformes|Podicipedidae,birds,"birds, ducks"
poecile-atricapillus,Black-capped Chickadee,khm-20150418-1930-1429371053,black-capped-chickadee,Black-capped Chickadee,Schwarzkopfmeise,"Carbonero cabecinegro, Carbonero de capucha negra",Mésange à tête noire,Poecile atricapillus,Passeriformes|Paridae,birds,"birds, chickadee"
polygonia-comma,Eastern Comma,khm-20160417-1430-1460889024,eastern-comma,Eastern Comma,Polygonia Comma,Polygonia Comma,Polygone virgule,Polygonia comma,Lepidoptera|Nymphalidae,butterflies,"butterflies, brush-footed"
polyommattus-icarus,European Common Blue,khm-20180922-1920-1537629617,european-common-blue,European Common Blue,Hauhechel-Bläuling,Mariposa ícaro,Argus bleu,Polyommattus icarus,Lepidoptera|Lycaenidae,butterflies,"butterflies, gossamer-winged"
procyon-lotor,Raccoon,khm-20140412-2000-1397318459,raccoon,Raccoon,Waschbär,"Mapache boreal, Racuna",Raton laveur,Procyon lotor,Carnivora|Procyonidae,mammals,"mammals, raccoons"
quiscalus-quiscula,Common Grackle,khm-20170527-1735-1495892135,common-grackle,Common Grackle,Purpur-Grackel,Zanate norteño,Quiscale bronzé,Quiscalus quiscula,Passeriformes|Icteridae,birds,"birds, grackle"
rana-catesbeiana,American Bullfrog,khm-20190624-1612-0000104643,american-bullfrog,American Bullfrog,Nordamerikanische Ochsenfrosch,Rana toro,"Ouaouaron, Grenouille-taureau",Rana Catesbeiana,Anura|Ranidae,amphibians,"amphibians, frogs"
regulus-calendula,Ruby-crowned Kinglet,khm-20180521-1232-1526891539,ruby-crowned-kinglet,Ruby-crowned Kinglet,Rubingoldhähnchen,Reyezuelo rubí,Roitelet à couronne rubis,Regulus calendula,Passeriformes|Regulidae,birds,"birds, kinglets"
regulus-satrapa,Golden-crowned Kinglet,khm-20190413-1749-1555163345,golden-crowned-kinglet,Golden-crowned Kinglet,Indianergoldhähnchen,Reyezuelo de moño dorado,Roitelet à couronne dorée,Regulus satrapa,Passeriformes|Regulidae,birds,"birds, kinglets"
sayornis-phoebe,Eastern Phoebe,khm-20200607-1715-1591535743,eastern-phoebe,Eastern Phoebe,Weißbauch-Phoebetyrann,Mosquero fibí,Moucherolle phébi,Sayornis phoebe,Passeriformes|Tyrannidae,birds,"birds, flycatchers"
sciurus-carolinensis,Eastern Grey Squirrel,khm-20161030-1556-1477828614,eastern-grey-squirrel,Eastern Grey Squirrel,Grauhörnchen,Ardilla de las Carolinas,Écureuil gris,Sciurus carolinensis,Rodentia|Sciuridae,mammals,"mammals, rodents"
setophaga-caerulescens,Black-throated Blue Warbler,khm-20180523-2207-1527098857,black-throated-blue-warbler,Black-throated Blue Warbler,Blaurücken-Waldsänger,Reinita azulada,Paruline bleue,Setophaga caerulescens,Passeriformes|Parulidae,birds,"birds, warblers"
setophaga-coronata,Yellow-rumped Warbler,khm-20180521-1158-1526889533,yellow-rumped-warbler,Yellow-rumped Warbler,Kron-Waldsänger,Reinita coronada,Paruline à croupion jaune,Setophaga coronata,Passeriformes|Parulidae,birds,"birds, warblers"
setophaga-magnolia,Magnolia Warbler,khm-20180521-1129-1526887745,magnolia-warbler,Magnolia Warbler,Magnolien-Waldsänger,Reinita de magnolia,Paruline à tête cendrée,Setophaga magnolia,Passeriformes|Parulidae,birds,"birds, warblers"
